0.000000,0.070000,0.000000,-0.070000,0.005493,-0.001137,0.000000,0.140000,0.070000,-0.001137,-0.008124
0.000000,0.070000,0.000000,-0.070000,0.005167,-0.001154,0.000000,0.140000,0.070000,-0.001154,-0.008244
0.000000,0.070000,0.000000,-0.070000,0.004835,-0.001170,0.000000,0.140000,0.070000,-0.001170,-0.008354
0.000000,0.070000,0.000000,-0.070000,0.004497,-0.001184,0.000000,0.140000,0.070000,-0.001184,-0.008453
0.000000,0.070000,0.000000,-0.070000,0.004154,-0.001196,0.000000,0.140000,0.070000,-0.001196,-0.008544
0.000000,0.070000,0.000000,-0.070000,0.003806,-0.001208,0.000000,0.140000,0.070000,-0.001208,-0.008626
0.000000,0.070000,0.000000,-0.070000,0.003452,-0.001218,0.000000,0.140000,0.070000,-0.001218,-0.008700
0.000000,0.070000,0.000000,-0.070000,0.003092,-0.001227,0.000000,0.140000,0.070000,-0.001227,-0.008767
0.000000,0.070000,0.000000,-0.070000,0.002727,-0.001236,0.000000,0.140000,0.070000,-0.001236,-0.008826
0.000000,0.070000,0.000000,-0.070000,0.002357,-0.001243,0.000000,0.140000,0.070000,-0.001243,-0.008878
0.000000,0.070000,0.000000,-0.070000,0.001982,-0.001249,0.000000,0.140000,0.070000,-0.001249,-0.008922
0.000000,0.070000,0.000000,-0.070000,0.001602,-0.001254,0.000000,0.140000,0.070000,-0.001254,-0.008960
0.000000,0.070000,0.000000,-0.070000,0.001217,-0.001259,0.000000,0.140000,0.070000,-0.001259,-0.008990
0.000000,0.070000,0.000000,-0.070000,0.000827,-0.001262,0.000000,0.140000,0.070000,-0.001262,-0.009013
0.000000,0.070000,0.000000,-0.070000,0.000432,-0.001264,0.000000,0.140000,0.070000,-0.001264,-0.009029
0.000000,0.070000,0.000000,-0.070000,0.000033,-0.001265,0.000000,0.140000,0.070000,-0.001265,-0.009038
0.000000,0.070000,0.000000,-0.070000,-0.000370,-0.001266,0.000000,0.140000,0.070000,-0.001266,-0.009040
0.000000,0.070000,0.000000,-0.070000,-0.000777,-0.001264,0.000000,0.140000,0.070000,-0.001264,-0.009030
0.000000,0.070000,0.000000,-0.070000,-0.001183,-0.001245,0.000000,0.140000,0.070000,-0.001245,-0.008894
0.000000,0.070000,0.000000,-0.070000,-0.001577,-0.001204,0.000000,0.140000,0.070000,-0.001204,-0.008599
0.000000,0.070000,0.000000,-0.070000,-0.001947,-0.001175,0.000000,0.140000,0.070000,-0.001175,-0.008393
0.000000,0.070000,0.000000,-0.070000,-0.002280,-0.001180,0.000000,0.140000,0.070000,-0.001180,-0.008426
0.000000,0.070000,0.000000,-0.070000,-0.002568,-0.001195,0.000000,0.140000,0.070000,-0.001195,-0.008532
0.000000,0.070000,0.000000,-0.070000,-0.002816,-0.001195,0.000000,0.140000,0.070000,-0.001195,-0.008534
0.000000,0.070000,0.000000,-0.070000,-0.003025,-0.001192,0.000000,0.140000,0.070000,-0.001192,-0.008517
0.000000,0.070000,0.000000,-0.070000,-0.003197,-0.001189,0.000000,0.140000,0.070000,-0.001189,-0.008495
0.000000,0.070000,0.000000,-0.070000,-0.003335,-0.001186,0.000000,0.140000,0.070000,-0.001186,-0.008468
0.000000,0.070000,0.000000,-0.070000,-0.003439,-0.001181,0.000000,0.140000,0.070000,-0.001181,-0.008434
0.000000,0.070000,0.000000,-0.070000,-0.003511,-0.001175,0.000000,0.140000,0.070000,-0.001175,-0.008392
0.000000,0.070000,0.000000,-0.070000,-0.003554,-0.001168,0.000000,0.140000,0.070000,-0.001168,-0.008343
0.000000,0.070000,0.000000,-0.070000,-0.003569,-0.001160,0.000000,0.140000,0.070000,-0.001160,-0.008288
0.000000,0.070000,0.000000,-0.070000,-0.003559,-0.001152,0.000000,0.140000,0.070000,-0.001152,-0.008225
0.000000,0.070000,0.000000,-0.070000,-0.003525,-0.001142,0.000000,0.140000,0.070000,-0.001142,-0.008155
0.000000,0.070000,0.000000,-0.070000,-0.003469,-0.001131,0.000000,0.140000,0.070000,-0.001131,-0.008078
0.000000,0.070000,0.000000,-0.070000,-0.003395,-0.001119,0.000000,0.140000,0.070000,-0.001119,-0.007994
0.000000,0.070000,0.000000,-0.070000,-0.003303,-0.001107,0.000000,0.140000,0.070000,-0.001107,-0.007904
0.000000,0.070000,0.000000,-0.070000,-0.003197,-0.001093,0.000000,0.140000,0.070000,-0.001093,-0.007807
0.000000,0.070000,0.000000,-0.070000,-0.003077,-0.001079,0.000000,0.140000,0.070000,-0.001079,-0.007705
0.000000,0.070000,0.000000,-0.070000,-0.002946,-0.001064,0.000000,0.140000,0.070000,-0.001064,-0.007597
0.000000,0.070000,0.000000,-0.070000,-0.002805,-0.001048,0.000000,0.140000,0.070000,-0.001048,-0.007483
