0.000000,0.070000,0.000000,-0.070000,-0.005448,-0.001191,0.000000,0.140000,0.070000,-0.001191,-0.008510
0.000000,0.070000,0.000000,-0.070000,-0.005125,-0.001206,0.000000,0.140000,0.070000,-0.001206,-0.008612
0.000000,0.070000,0.000000,-0.070000,-0.004797,-0.001218,0.000000,0.140000,0.070000,-0.001218,-0.008700
0.000000,0.070000,0.000000,-0.070000,-0.004462,-0.001215,0.000000,0.140000,0.070000,-0.001215,-0.008678
0.000000,0.070000,0.000000,-0.070000,-0.004125,-0.001221,0.000000,0.140000,0.070000,-0.001221,-0.008724
0.000000,0.070000,0.000000,-0.070000,-0.003782,-0.001216,0.000000,0.140000,0.070000,-0.001216,-0.008688
0.000000,0.070000,0.000000,-0.070000,-0.003436,-0.001219,0.000000,0.140000,0.070000,-0.001219,-0.008706
0.000000,0.070000,0.000000,-0.070000,-0.003083,-0.001214,0.000000,0.140000,0.070000,-0.001214,-0.008671
0.000000,0.070000,0.000000,-0.070000,-0.002724,-0.001214,0.000000,0.140000,0.070000,-0.001214,-0.008669
0.000000,0.070000,0.000000,-0.070000,-0.002360,-0.001207,0.000000,0.140000,0.070000,-0.001207,-0.008624
0.000000,0.070000,0.000000,-0.070000,-0.001991,-0.001205,0.000000,0.140000,0.070000,-0.001205,-0.008610
0.000000,0.070000,0.000000,-0.070000,-0.001616,-0.001199,0.000000,0.140000,0.070000,-0.001199,-0.008565
0.000000,0.070000,0.000000,-0.070000,-0.001236,-0.001195,0.000000,0.140000,0.070000,-0.001195,-0.008538
0.000000,0.070000,0.000000,-0.070000,-0.000851,-0.001188,0.000000,0.140000,0.070000,-0.001188,-0.008489
0.000000,0.070000,0.000000,-0.070000,-0.000462,-0.001182,0.000000,0.140000,0.070000,-0.001182,-0.008446
0.000000,0.070000,0.000000,-0.070000,-0.000068,-0.001175,0.000000,0.140000,0.070000,-0.001175,-0.008393
0.000000,0.070000,0.000000,-0.070000,0.000331,-0.001167,0.000000,0.140000,0.070000,-0.001167,-0.008335
0.000000,0.070000,0.000000,-0.070000,0.000733,-0.001158,0.000000,0.140000,0.070000,-0.001158,-0.008272
0.000000,0.070000,0.000000,-0.070000,0.001139,-0.001149,0.000000,0.140000,0.070000,-0.001149,-0.008205
0.000000,0.070000,0.000000,-0.070000,0.001549,-0.001139,0.000000,0.140000,0.070000,-0.001139,-0.008134
0.000000,0.070000,0.000000,-0.070000,0.001962,-0.001128,0.000000,0.140000,0.070000,-0.001128,-0.008057
0.000000,0.070000,0.000000,-0.070000,0.002378,-0.001117,0.000000,0.140000,0.070000,-0.001117,-0.007976
0.000000,0.070000,0.000000,-0.070000,0.002796,-0.001105,0.000000,0.140000,0.070000,-0.001105,-0.007890
0.000000,0.070000,0.000000,-0.070000,0.003218,-0.001092,0.000000,0.140000,0.070000,-0.001092,-0.007800
0.000000,0.070000,0.000000,-0.070000,0.003641,-0.001079,0.000000,0.140000,0.070000,-0.001079,-0.007704
0.000000,0.070000,0.000000,-0.070000,0.004067,-0.001065,0.000000,0.140000,0.070000,-0.001065,-0.007604
0.000000,0.070000,0.000000,-0.070000,0.004494,-0.001050,0.000000,0.140000,0.070000,-0.001050,-0.007498
0.000000,0.070000,0.000000,-0.070000,0.004923,-0.001034,0.000000,0.140000,0.070000,-0.001034,-0.007388
0.000000,0.070000,0.000000,-0.070000,0.005353,-0.001025,0.000000,0.140000,0.070000,-0.001025,-0.007323
0.000000,0.070000,0.000000,-0.070000,0.005785,-0.001003,0.000000,0.140000,0.070000,-0.001003,-0.007161
0.000000,0.070000,0.000000,-0.070000,0.006220,-0.000960,0.000000,0.140000,0.070000,-0.000960,-0.006858
0.000000,0.070000,0.000000,-0.070000,0.006641,-0.000985,0.000000,0.140000,0.070000,-0.000985,-0.007036
0.000000,0.070000,0.000000,-0.070000,0.007078,-0.000963,0.000000,0.140000,0.070000,-0.000963,-0.006876
0.000000,0.070000,0.000000,-0.070000,0.007517,-0.000943,0.000000,0.140000,0.070000,-0.000943,-0.006739
0.000000,0.070000,0.000000,-0.070000,0.007952,-0.000928,0.000000,0.140000,0.070000,-0.000928,-0.006631
0.000000,0.070000,0.000000,-0.070000,0.008387,-0.000911,0.000000,0.140000,0.070000,-0.000911,-0.006507
0.000000,0.070000,0.000000,-0.070000,0.008825,-0.000904,0.000000,0.140000,0.070000,-0.000904,-0.006459
