0.000000,0.070000,0.000000,-0.070000,0.008136,-0.000248,0.000000,0.140000,0.070000,-0.000248,-0.001773
0.000000,0.070000,0.000000,-0.070000,0.008617,-0.000272,0.000000,0.140000,0.070000,-0.000272,-0.001946
0.000000,0.070000,0.000000,-0.070000,0.009090,-0.000280,0.000000,0.140000,0.070000,-0.000280,-0.002002
0.000000,0.070000,0.000000,-0.070000,0.009559,-0.000283,0.000000,0.140000,0.070000,-0.000283,-0.002024
0.000000,0.070000,0.000000,-0.070000,0.010014,-0.000303,0.000000,0.140000,0.070000,-0.000303,-0.002162
0.000000,0.070000,0.000000,-0.070000,0.010407,-0.000385,0.000000,0.140000,0.070000,-0.000385,-0.002747
0.000000,0.070000,0.000000,-0.070000,0.010747,-0.000361,0.000000,0.140000,0.070000,-0.000361,-0.002581
0.000000,0.070000,0.000000,-0.070000,0.011037,-0.000386,0.000000,0.140000,0.070000,-0.000386,-0.002754
0.000000,0.070000,0.000000,-0.070000,0.011294,-0.000401,0.000000,0.140000,0.070000,-0.000401,-0.002864
0.000000,0.070000,0.000000,-0.070000,0.011532,-0.000404,0.000000,0.140000,0.070000,-0.000404,-0.002888
0.000000,0.070000,0.000000,-0.070000,0.011764,-0.000411,0.000000,0.140000,0.070000,-0.000411,-0.002935
0.000000,0.070000,0.000000,-0.070000,0.011992,-0.000414,0.000000,0.140000,0.070000,-0.000414,-0.002957
0.000000,0.070000,0.000000,-0.070000,0.012219,-0.000415,0.000000,0.140000,0.070000,-0.000415,-0.002963
0.000000,0.070000,0.000000,-0.070000,0.012445,-0.000415,0.000000,0.140000,0.070000,-0.000415,-0.002967
0.000000,0.070000,0.000000,-0.070000,0.012637,-0.000399,0.000000,0.140000,0.070000,-0.000399,-0.002851
0.000000,0.070000,0.000000,-0.070000,0.012763,-0.000376,0.000000,0.140000,0.070000,-0.000376,-0.002685
0.000000,0.070000,0.000000,-0.070000,0.012841,-0.000363,0.000000,0.140000,0.070000,-0.000363,-0.002591
0.000000,0.070000,0.000000,-0.070000,0.012890,-0.000356,0.000000,0.140000,0.070000,-0.000356,-0.002545
0.000000,0.070000,0.000000,-0.070000,0.012926,-0.000353,0.000000,0.140000,0.070000,-0.000353,-0.002524
0.000000,0.070000,0.000000,-0.070000,0.012955,-0.000352,0.000000,0.140000,0.070000,-0.000352,-0.002515
0.000000,0.070000,0.000000,-0.070000,0.012982,-0.000352,0.000000,0.140000,0.070000,-0.000352,-0.002513
0.000000,0.070000,0.000000,-0.070000,0.013010,-0.000352,0.000000,0.140000,0.070000,-0.000352,-0.002516
0.000000,0.070000,0.000000,-0.070000,0.013041,-0.000353,0.000000,0.140000,0.070000,-0.000353,-0.002521
0.000000,0.070000,0.000000,-0.070000,0.013073,-0.000354,0.000000,0.140000,0.070000,-0.000354,-0.002528
0.000000,0.070000,0.000000,-0.070000,0.013108,-0.000355,0.000000,0.140000,0.070000,-0.000355,-0.002538
0.000000,0.070000,0.000000,-0.070000,0.013145,-0.000357,0.000000,0.140000,0.070000,-0.000357,-0.002552
